Count of Borough,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bronx,,,,,,,,,,,,,,,,Bronx Total,Brooklyn,,,,,,,,,,,,,,,,,,,,,Brooklyn Total,Manhattan,,,,,,,,,,,,,,Manhattan Total,Queens,,,,,,,,,,,,,,,,,,Queens Total,Staten Island,,,,Staten Island Total,Grand Total
Row Labels,0,201,202,203,204,205,206,207,208,209,210,211,212,226,227,228,,0,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,355,356,,0,101,102,103,104,105,106,107,108,109,110,111,112,164,,0,401,402,403,404,405,406,407,408,409,410,411,412,413,414,481,482,483,,501,502,503,595,,
2018,,79,45,1245,191,19,34,80,88,43,49,277,126,144,401,1221,4042,36,15,17,23,5,56,4,10,29,13,58,18,10,66,21,93,18,15,68,75,6,656,,8,23,41,4,4,9,94,118,163,33,84,285,3,869,,36,9,127,82,54,28,204,132,8,17,264,33,88,44,182,103,,1411,712,655,422,142,1931,8909
Jan,,1,4,21,2,2,25,11,,6,2,1,7,15,,3,100,,5,,2,,,1,,,1,3,3,8,24,,3,,3,7,,,60,,,3,2,,,1,3,101,10,,5,8,,133,,5,,13,1,,,6,16,5,3,26,4,41,21,19,21,,181,23,66,161,1,251,725
Feb,,6,2,1186,5,1,2,25,2,,,1,14,3,,767,2014,,,1,,2,6,,,,,,,,2,2,1,15,4,1,,,34,,2,1,7,,,4,30,6,8,,3,3,,64,,2,1,,,12,9,36,13,1,1,43,2,22,10,16,6,,174,71,441,18,5,535,2821
Mar,,16,,1,3,,1,21,9,17,6,6,18,6,13,269,386,,2,,,,2,1,,4,,11,1,,,,1,,,5,3,1,31,,1,7,3,2,,,20,1,20,3,1,27,,85,,1,3,1,,2,,33,54,,3,87,4,14,,4,17,,223,24,65,18,,107,832
Apr,,13,5,,,1,1,,43,3,6,4,2,1,6,19,104,,,1,,1,7,1,1,1,1,2,,,,,,,1,32,7,,55,,2,,2,,,1,12,2,80,21,24,112,,256,,7,,,,1,,10,16,1,,17,2,3,,,7,,64,27,,4,,31,510
May,,10,14,19,63,3,,2,2,1,1,,19,4,,38,176,,,,,,,,,,,1,1,,,,,1,,,6,,9,,,,,,,,7,4,19,,6,20,,56,,2,1,1,,5,4,23,3,,,10,10,2,,4,6,,71,30,6,6,5,47,359
Jun,,3,1,,5,1,1,1,4,9,1,242,10,9,2,9,298,36,5,2,1,,,,,1,,5,1,1,22,1,1,,,,50,,126,,,,1,,4,1,6,,2,,6,8,,28,,6,,,,1,,4,6,,5,7,1,,,7,1,,38,16,14,20,4,54,544
Jul,,2,,,23,6,,6,4,3,2,,37,24,6,10,123,,2,,1,,13,,2,2,,12,6,,2,,1,2,,1,2,,46,,,4,5,,,,6,2,5,1,18,71,3,115,,,1,,2,2,1,5,5,,3,6,,1,,32,4,,62,20,8,23,1,52,398
Aug,,13,,1,19,,,1,3,3,7,,6,16,4,13,86,,,2,,,7,,1,5,1,,,,1,1,,,2,,,,20,,1,,,1,,,4,,3,2,13,9,,33,,1,1,,,,1,61,4,,,11,1,1,,50,14,,145,15,13,118,2,148,432
